29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Maururu,,8/01/2026,Remito,00003-00049365,"$39.500,00","$0,00","$39.500,00",  -   ,8/01/2026,8/01/2026,"$39.500,00","$0,00",PAGADO,Efectivo Local,,CMV
Cotar,"21,0%",8/01/2026,Remito,19760,"$104.000,00","$0,00","$104.000,00",  -   ,8/01/2026,8/01/2026,"$104.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Otros,,8/01/2026,Sin comprobante,0,"$15.000,00","$0,00","$15.000,00",  -   ,8/01/2026,8/01/2026,"$15.000,00","$0,00",PAGADO,Efectivo Local,CUBIERTERO COCINA,Gastos Varios
Noblex,"21,0%",8/01/2026,Sin comprobante,0,"$40.072,50","$0,00","$40.072,50",  30 ,7/02/2026,7/02/2026,"$40.072,50","$0,00",PAGADO,Efectivo ADM,TUPPER X5,"Limpieza, Descartables y Bazar"
Paico,,8/01/2026,Remito,254664,"$556.300,00","$0,00","$556.300,00",  7 ,15/01/2026,16/01/2026,"$556.300,00","$0,00",PAGADO,Posnet Proveedor,,CMV
Gastos Varios - Otros,,8/01/2026,Ticket CF,10263,"$4.876,00","$0,00","$4.876,00",  -   ,8/01/2026,8/01/2026,"$4.876,00","$0,00",PAGADO,Efectivo Local,TAXI  NOBLEX,Gastos Varios
Gastos Varios - Otros,,8/01/2026,Sin comprobante,0,"$4.253,00","$0,00","$4.253,00",  -   ,8/01/2026,8/01/2026,"$4.253,00","$0,00",PAGADO,Efectivo Local,TAXI  NOBLEX,Gastos Varios
Gastos Varios - Stock Mercadería Local,,8/01/2026,Ticket CF,208342,"$2.300,00","$0,00","$2.300,00",  -   ,8/01/2026,8/01/2026,"$2.300,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Propinas,,8/01/2026,Sin comprobante,0,"$7.800,00","$0,00","$7.800,00",  -   ,8/01/2026,8/01/2026,"$7.800,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Gastos Varios - Propinas,,8/01/2026,Sin comprobante,0,"$16.970,00","$0,00","$16.970,00",  -   ,8/01/2026,8/01/2026,"$16.970,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",9/01/2026,Factura A,0002-00078527,"$195.505,10","$20.528,04","$174.977,06",  60 ,10/03/2026,12/02/2026,"$195.505,10","$0,00",PAGADO,Cheque,"60038,90 el 12/02",CMV
Nunzio,"21,0%",9/01/2026,Factura A,0005-00072440,"$121.550,00","$25.525,50","$96.024,50",  7 ,16/01/2026,16/01/2026,"$121.550,00","$0,00",PAGADO,Transferencia,,CMV
CEPRO,"18,9%",9/01/2026,Factura A,00007-00223747,"$91.604,37","$17.313,23","$74.291,14",  15 ,24/01/2026,21/01/2026,"$91.604,37","$0,00",PAGADO,Transferencia,,CMV
Over Clean,,9/01/2026,Remito,0101-00046923,"$70.415,76","$0,00","$70.415,76",  7 ,16/01/2026,16/01/2026,"$70.415,76","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
La Distribuidora,"18,9%",9/01/2026,Factura A,7632,"$287.045,03","$54.251,51","$232.793,52",  15 ,24/01/2026,12/02/2026,"$287.045,03","$0,00",PAGADO,Posnet Proveedor,"253829,35 el 12/02",CMV
Nueve Seis Nueve,,9/01/2026,Remito,0200001-00070840,"$20.099,98","$0,00","$20.099,98",  -   ,9/01/2026,9/01/2026,"$20.099,98","$0,00",PAGADO,Efectivo Local,,CMV
Quento,,9/01/2026,Remito,145281,"$125.970,00","$0,00","$125.970,00",  -   ,9/01/2026,9/01/2026,"$125.970,00","$0,00",PAGADO,Efectivo Local,,CMV
Vines & Co.,"21,0%",9/01/2026,Factura A,00003-00024063,"$174.718,52","$36.690,89","$138.027,63",  21 ,30/01/2026,26/01/2026,"$174.718,52","$0,00",PAGADO,Posnet Proveedor,,CMV
Carnicerías Integradas,"12,6%",9/01/2026,Factura A,0008-00064821,"$168.840,00","$21.273,84","$147.566,16",  10 ,19/01/2026,21/01/2026,"$168.840,00","$0,00",PAGADO,Transferencia,,CMV
Némesis (Grit Beerlab SRL),"21,0%",9/01/2026,Remito,12808,"$147.500,00","$0,00","$147.500,00",  20 ,29/01/2026,2/02/2026,"$147.500,00","$0,00",PAGADO,Mercado Pago,,CMV
Gastos Varios - Stock Mercadería Local,,9/01/2026,Ticket CF,287045,"$10.970,00","$0,00","$10.970,00",  -   ,9/01/2026,9/01/2026,"$10.970,00","$0,00",PAGADO,Efectivo Local,GARBANZOS - DESODORANTE DE AMBIENTE ,CMV
Hielo Rosario,,9/01/2026,Remito,10738,"$24.000,00","$0,00","$24.000,00",  -   ,9/01/2026,9/01/2026,"$24.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Propinas,,9/01/2026,Sin comprobante,0,"$4.230,00","$0,00","$4.230,00",  -   ,9/01/2026,9/01/2026,"$4.230,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",10/01/2026,Factura A,0002-00078598,"$154.077,00","$16.178,09","$137.898,92",  60 ,11/03/2026,12/02/2026,"$154.077,00","$0,00",PAGADO,Cheque,,CMV
Cotar,"21,0%",10/01/2026,Remito,19770,"$52.000,00","$0,00","$52.000,00",  -   ,10/01/2026,10/01/2026,"$52.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Panificación Ceres,,10/01/2026,Remito,1001202612,"$9.900,00","$0,00","$9.900,00",  -   ,10/01/2026,10/01/2026,"$9.900,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Propinas,,10/01/2026,Sin comprobante,0,"$13.870,00","$0,00","$13.870,00",  -   ,10/01/2026,10/01/2026,"$13.870,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Hielo Rosario,,10/01/2026,Remito,24062,"$24.000,00","$0,00","$24.000,00",  -   ,10/01/2026,10/01/2026,"$24.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Eventos,,10/01/2026,Sin comprobante,0,"$80.000,00","$0,00","$80.000,00",  -   ,10/01/2026,10/01/2026,"$80.000,00","$0,00",PAGADO,Efectivo ADM,DJ VINILOS,Eventos
Gastos Varios - Propinas,,10/01/2026,Sin comprobante,0,"$27.150,00","$0,00","$27.150,00",  -   ,10/01/2026,10/01/2026,"$27.150,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",11/01/2026,Factura A,0002-00078640,"$114.186,00","$11.989,53","$102.196,47",  60 ,12/03/2026,12/02/2026,"$114.186,00","$0,00",PAGADO,Cheque,,CMV
Cook express,"10,5%",11/01/2026,Factura A,0002-00078650,"$17.360,00","$1.822,80","$15.537,20",  60 ,12/03/2026,12/02/2026,"$17.360,00","$0,00",PAGADO,Cheque,,CMV
Gastos Varios - Mantenimiento Local,,11/01/2026,Sin comprobante,0,"$125.000,00","$0,00","$125.000,00",  -   ,11/01/2026,11/01/2026,"$125.000,00","$0,00",PAGADO,Efectivo Local,MANO DE OBRA REESTABLECER TENSION COCINA ,Mantenimiento
Hielo Rosario,,11/01/2026,Remito,10010,"$8.000,00","$0,00","$8.000,00",  -   ,11/01/2026,11/01/2026,"$8.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Descartables y Limpieza,,11/01/2026,Ticket CF,00709-00305441,"$6.624,00","$0,00","$6.624,00",  -   ,11/01/2026,11/01/2026,"$6.624,00","$0,00",PAGADO,Efectivo Local,GUANTES PARA LIMPIEZA (BAÑOS),"Limpieza, Descartables y Bazar"
Gastos Varios - Propinas,,11/01/2026,Sin comprobante,0,"$23.000,00","$0,00","$23.000,00",  -   ,11/01/2026,11/01/2026,"$23.000,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Gastos Varios - Propinas,,11/01/2026,Sin comprobante,0,"$19.720,00","$0,00","$19.720,00",  -   ,11/01/2026,11/01/2026,"$19.720,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",12/01/2026,Factura A,0002-00078662,"$215.445,50","$22.621,78","$192.823,72",  60 ,13/03/2026,12/02/2026,"$215.445,50","$0,00",PAGADO,Cheque,,CMV
Gastos Varios - Stock Mercadería Local,,12/01/2026,Ticket CF,209346,"$2.483,00","$0,00","$2.483,00",  -   ,12/01/2026,12/01/2026,"$2.483,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Stock Mercadería Local,,12/01/2026,Ticket CF,263049,"$2.140,00","$0,00","$2.140,00",  -   ,12/01/2026,12/01/2026,"$2.140,00","$0,00",PAGADO,Efectivo Local,,CMV
Congelados Ros,"21,0%",12/01/2026,Factura A,0005-0002743,"$100.000,00","$21.000,00","$79.000,00",  7 ,19/01/2026,21/01/2026,"$100.000,00","$0,00",PAGADO,Transferencia,,CMV
Nueve Seis Nueve,,12/01/2026,Remito,70956,"$20.100,00","$0,00","$20.100,00",  -   ,12/01/2026,12/01/2026,"$20.100,00","$0,00",PAGADO,Efectivo Local,,CMV
Distribuidora ALCORTA,"21,0%",12/01/2026,Factura A,00003-00023332,"$205.539,49","$43.163,29","$162.376,20",  14 ,26/01/2026,12/01/2026,"$205.539,49","$0,00",PAGADO,Efectivo Local,,CMV
Magnolia,,12/01/2026,Factura C,00001-00000141,"$60.000,00","$0,00","$60.000,00",  -   ,12/01/2026,12/01/2026,"$60.000,00","$0,00",PAGADO,Efectivo Local,,Stand 3eros
Gastos Varios - Mantenimiento Local,,12/01/2026,Factura B,00013-00017504,"$33.909,00","$0,00","$33.909,00",  -   ,12/01/2026,12/01/2026,"$33.909,00","$0,00",PAGADO,Efectivo Local,ADHESIVO DE MONTAJE X2 PARA ARREGLO DE BACHA,Mantenimiento
Gastos Varios - Mantenimiento Local,,12/01/2026,Sin comprobante,0,"$20.000,00","$0,00","$20.000,00",  -   ,12/01/2026,12/01/2026,"$20.000,00","$0,00",PAGADO,Efectivo Local,ARREGLO DE BACHA DE BARRA,Mantenimiento
Gastos Varios - Propinas,,12/01/2026,Sin comprobante,0,"$17.100,00","$0,00","$17.100,00",  -   ,12/01/2026,12/01/2026,"$17.100,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",13/01/2026,Factura A,0002-00078719,"$104.409,00","$10.962,95","$93.446,06",  60 ,14/03/2026,12/02/2026,"$104.409,00","$0,00",PAGADO,Cheque,,CMV
Panificación Ceres,,13/01/2026,Remito,1301202624,"$6.600,00","$0,00","$6.600,00",  -   ,13/01/2026,13/01/2026,"$6.600,00","$0,00",PAGADO,Efectivo Local,,CMV
La Distribuidora,"18,9%",13/01/2026,Factura A,7721,"$579.143,54","$109.458,13","$469.685,41",  15 ,28/01/2026,18/02/2026,"$579.143,54","$0,00",PAGADO,Posnet Proveedor,"98772,89 el 18/02",CMV
Over Clean,,13/01/2026,Remito,0101-00046980,"$109.050,87","$0,00","$109.050,87",  7 ,20/01/2026,20/01/2026,"$109.050,87","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Safyta,,13/01/2026,Remito,5368,"$32.800,00","$0,00","$32.800,00",  -   ,13/01/2026,13/01/2026,"$32.800,00","$0,00",PAGADO,Efectivo Local,,CMV
Cotar,"21,0%",13/01/2026,Remito,19777,"$104.000,00","$0,00","$104.000,00",  -   ,13/01/2026,13/01/2026,"$104.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Providencia,,13/01/2026,Remito,5335,"$85.000,00","$0,00","$85.000,00",  7 ,20/01/2026,21/01/2026,"$85.000,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Art. de Librería e imprenta,,13/01/2026,Ticket CF,34124,"$1.600,00","$0,00","$1.600,00",  -   ,13/01/2026,13/01/2026,"$1.600,00","$0,00",PAGADO,Efectivo Local,TIZAS,Artículos de librería / Impresiones
Gastos Varios - Stock Mercadería Local,,13/01/2026,Ticket CF,205296,"$2.850,00","$0,00","$2.850,00",  -   ,13/01/2026,13/01/2026,"$2.850,00","$0,00",PAGADO,Efectivo Local,ARVEJAS,CMV
CEPRO,"18,9%",13/01/2026,Factura A,00007-00224213,"$162.348,49","$30.683,86","$131.664,63",  15 ,28/01/2026,28/01/2026,"$162.348,49","$0,00",PAGADO,Transferencia,FALTO LEVADURA ,CMV
