29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Noblex,"21,0%",8/10/2025,Remito,,"$263.533,50","$0,00","$263.533,50",  30 ,7/11/2025,28/10/2025,"$263.533,50","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Distribuidora ALCORTA,"21,0%",9/10/2025,Factura A,223998,"$115.835,03","$24.325,36","$91.509,67",  -   ,9/10/2025,14/10/2025,"$115.835,03","$0,00",PAGADO,,,CMV
Gastos Varios - Mantenimiento Local,,8/10/2025,Sin comprobante,,"$8.500,00","$0,00","$8.500,00",  -   ,8/10/2025,8/10/2025,"$8.500,00","$0,00",PAGADO,,,Mantenimiento
Gastos Varios - Otros,,8/10/2025,Remito,6305,"$15.400,00","$0,00","$15.400,00",  -   ,8/10/2025,8/10/2025,"$15.400,00","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Otros,,8/10/2025,Factura B,33477,"$5.400,00","$0,00","$5.400,00",  -   ,8/10/2025,8/10/2025,"$5.400,00","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Stock Mercadería Local,,8/10/2025,Remito,3901,"$36.000,00","$0,00","$36.000,00",  -   ,8/10/2025,8/10/2025,"$36.000,00","$0,00",PAGADO,,,CMV
Minga (Lecreba SA),"21,0%",7/10/2025,Remito,49804,"$322.000,00","$0,00","$322.000,00",  20 ,27/10/2025,20/10/2025,"$322.000,00","$0,00",PAGADO,Efectivo ADM,,CMV
Transporte Rosario Logística,"21,0%",7/10/2025,Factura A,1714991,"$33.039,05","$6.938,20","$26.100,85",  30 ,6/11/2025,26/11/2025,"$33.039,05","$0,00",PAGADO,Mercado Pago,,Logistica
Vines & Co.,"21,0%",8/10/2025,Factura A,22437,"$452.562,42","$95.038,11","$357.524,31",  21 ,29/10/2025,26/10/2025,"$452.562,42","$0,00",PAGADO,Posnet Proveedor,,CMV
La Distribuidora,"18,9%",8/10/2025,Factura A,6484,"$521.745,05","$98.609,81","$423.135,24",  15 ,23/10/2025,10/11/2025,"$521.745,05","$0,00",PAGADO,Posnet Proveedor,"235954,24 el 10/11",CMV
Noblex,"21,0%",11/10/2025,Remito,,"$159.300,00","$0,00","$159.300,00",  30 ,10/11/2025,15/11/2025,"$159.300,00","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Vines & Co.,"21,0%",11/10/2025,Factura A,22494,"$89.139,99","$18.719,40","$70.420,59",  21 ,1/11/2025,26/10/2025,"$89.139,99","$0,00",PAGADO,Posnet Proveedor,,CMV
Vines & Co.,"21,0%",11/10/2025,Factura A,22513,"$416.744,10","$87.516,26","$329.227,84",  21 ,1/11/2025,26/10/2025,"$416.744,10","$0,00",PAGADO,Posnet Proveedor,,CMV
Hillbillys,"21,0%",11/10/2025,Remito,9547,"$789.800,00","$0,00","$789.800,00",  20 ,31/10/2025,31/10/2025,"$789.800,00","$0,00",PAGADO,Transferencia,,CMV
Hillbillys,"21,0%",9/10/2025,Remito,9531,"$389.500,00","$0,00","$389.500,00",  20 ,29/10/2025,29/10/2025,"$389.500,00","$0,00",PAGADO,Transferencia,,CMV
