Mes del Gasto,COSTOS FIJOS / OTROS GASTOS,Comentario / Proveedor,LOCAL - ADM CENTRAL,Importe,Check %, %, MORENO,%,VIA VIEJA,%,COLEGIO,%,GG2,%,GG4, MONTO PAGO,FECHA PAGO,FORMA PAGO,Saldo a Pagar,Linea P&L
Marzo,Luz Locales,,MORENO," $  3.162.911,0 ",0%,100%," $  3.162.911,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  3.296.000,0 ",29/4/2026,Transferencia,"-$  133.089,0 ","Servicios, Seguros & Tasas"
Abril,Luz Locales,,MORENO," $  3.162.911,0 ",0%,100%," $  3.162.911,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  3.162.911,0 ","Servicios, Seguros & Tasas"
Marzo,Luz Locales,,GG4," $  1.033.570,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  1.033.570,0 "," $  1.033.570,0 ",26/3/2026,Transferencia, $  -   ,"Servicios, Seguros & Tasas"
Abril,Luz Locales,,GG4," $  1.033.570,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  1.033.570,0 "," $  1.070.000,0 ",27/4/2026,MP,"-$  36.430,0 ","Servicios, Seguros & Tasas"
Marzo,Luz Locales,,COLEGIO," $  460.320,0 ",0%,, $  -   ,, $  -   ,100%," $  460.320,0 ",, $  -   ,, $  -   ," $  460.320,0 ",,, $  -   ,"Servicios, Seguros & Tasas"
Abril,Luz Locales,,COLEGIO," $  460.320,0 ",0%,, $  -   ,, $  -   ,100%," $  460.320,0 ",, $  -   ,, $  -   ," $  465.600,0 ",27/4/2026,Transferencia,"-$  5.280,0 ","Servicios, Seguros & Tasas"
Marzo,Luz Locales,,GG2," $  664.315,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  664.315,0 ",, $  -   ," $  664.315,0 ",,, $  -   ,"Servicios, Seguros & Tasas"
Abril,Luz Locales,,GG2," $  664.315,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  664.315,0 ",, $  -   ," $  662.000,0 ",27/4/2026,Transferencia," $  2.315,0 ","Servicios, Seguros & Tasas"
Enero,Autónomos,,ADM Central," $  292.000,0 ",0%,20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",,,," $  292.000,0 ","Servicios, Seguros & Tasas"
Febrero,Autónomos,,ADM Central," $  292.000,0 ",0%,20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",,,," $  292.000,0 ","Servicios, Seguros & Tasas"
